Iteration,temps total,temps attente agv2,stock max warehouse
1,6081.24,87.89,1
2,6143.78,82.08,1
3,6129.36,88.66,1
4,6123.40,101.41,1
5,6131.40,93.61,1
6,6083.64,89.74,1
7,6132.18,90.34,1
8,6102.34,87.22,1
9,6079.79,94.32,1
10,6064.94,96.02,1
11,6118.13,92.24,1
12,6124.30,88.55,1
13,6171.03,88.68,1
14,6133.29,88.93,1
15,6145.81,89.46,1
16,6110.58,87.66,1
17,6096.48,93.60,1
18,6143.76,89.91,1
19,6087.17,90.03,1
20,6089.44,87.54,1
21,6157.94,87.24,1
22,6111.94,90.97,1
23,6108.96,89.21,1
24,6082.61,89.50,1
25,6098.91,93.71,1
26,6106.02,91.87,1
27,6092.84,91.81,1
28,6095.86,93.58,1
29,6153.82,99.55,1
30,6070.73,91.39,1
31,6061.85,86.92,1
32,6146.46,90.47,1
33,6093.13,87.48,1
34,6102.53,80.72,1
35,6121.78,95.78,1
36,6123.82,95.29,1
37,6164.95,89.60,1
38,6110.00,85.28,1
39,6139.01,99.54,1
40,6083.00,88.79,1
41,6093.78,82.22,1
42,6058.54,91.75,1
43,6132.12,93.20,1
44,6103.56,94.42,1
45,6108.06,94.35,1
46,6134.13,90.36,1
47,6108.93,81.25,1
48,6088.01,94.20,1
49,6124.26,89.91,1
50,6149.39,86.07,1
51,6107.55,90.00,1
52,6026.09,93.01,1
53,6070.83,99.07,1
54,6106.28,95.17,1
55,6141.47,92.39,1
56,6084.87,88.04,1
57,6122.12,84.44,1
58,6081.33,86.73,1
59,6080.64,88.84,1
60,6110.85,90.11,1
61,6114.79,92.63,1
62,6188.38,87.91,1
63,6092.97,90.42,1
64,6060.17,89.19,1
65,6161.90,84.44,1
66,6112.49,97.78,1
67,6088.21,93.72,1
68,6070.35,84.54,1
69,6110.30,96.97,1
70,6155.00,89.63,1
71,6153.85,87.24,1
72,6176.64,96.39,1
73,6128.04,93.80,1
74,6098.13,90.80,1
75,6129.14,94.29,1
76,6054.77,90.39,1
77,6169.42,97.38,1
78,6091.15,91.79,1
79,6084.47,91.33,1
80,6065.17,93.15,1
81,6107.90,96.87,1
82,6141.50,89.07,1
83,6136.82,93.77,1
84,6117.11,83.55,1
85,6138.71,85.01,1
86,6149.82,85.26,1
87,6153.72,95.57,1
88,6087.36,90.20,1
89,6129.67,89.67,1
90,6099.96,88.84,1
91,6126.16,93.77,1
92,6126.62,79.60,1
93,6140.43,90.07,1
94,6162.43,95.30,1
95,6101.69,90.73,1
96,6141.40,87.48,1
97,6157.19,85.47,1
98,6132.40,94.28,1
99,6155.24,91.95,1
100,6124.12,94.23,1
101,6132.56,93.19,1
102,6144.06,93.78,1
